data_id,state_id,indicator_id,categories_id,nfhs_id,ST,Non-ST,Total
452,18,110,17,2,70,65,65.6
453,18,111,17,2,4.8,4,4.1
454,18,112,17,2,3.5,5.5,5.3
455,18,113,17,2,5.6,4,4.2
456,18,114,17,2,6.7,5.2,5.4
457,10,1,1,2,1111,1010,1018
458,10,2,1,2,*,862,897
459,10,3,1,2,74.2,79.4,79.2
460,10,4,1,2,53.4,61.4,61.1
461,10,5,1,2,20.3,29.1,28.8
462,10,6,1,2,37.7,40.9,40.8
463,10,7,1,2,85.3,85.5,85.4
464,10,8,1,2,67.5,54.9,55.4
465,10,9,1,2,34.3,38.9,38.8
466,10,10,1,2,92.3,95.7,95.6
467,10,11,1,2,98.4,99.2,99.1
468,10,12,1,2,42.4,59,58.3
469,10,13,1,2,54.2,38.3,38.9
470,10,14,1,2,27.2,38.2,37.8
471,10,15,1,2,20.3,34.5,34
472,10,16,1,2,52.3,60.7,60.4
473,10,17,1,2,21.5,17.2,17.4
474,10,18,1,2,0.9,0.9,0.9
475,10,19,2,2,27.2,36.9,36.5
476,10,20,2,2,89.1,93.6,93.4
477,10,21,2,2,25.7,33.3,33
478,10,22,2,2,13.7,20.8,20.6
479,10,23,3,2,56.6,59.3,59.2
480,10,24,3,2,52.1,55.9,55.8
481,10,25,3,2,31.8,34.9,34.8
482,10,26,3,2,0,0.1,0.1
483,10,27,3,2,65.8,64.2,64.3
484,10,28,3,2,15.9,13.5,13.6
485,10,29,3,2,7.9,6.1,6.1
486,10,30,4,2,12.9,11,11
487,10,31,4,2,44.1,53.3,52.9
488,10,32,4,2,17.8,25.5,25.2
489,10,33,4,2,12.4,18.2,18
490,10,34,4,2,4.1,7.7,7.6
491,10,35,4,2,90.4,89.5,89.5
492,10,36,4,2,36.9,38.4,38.4
493,10,37,4,2,31.5,34.5,34.4
494,10,38,4,2,41.8,43.1,43
495,10,39,5,2,67.7,76.5,76.2
496,10,40,5,2,53.5,57,56.9
497,10,41,5,2,7.2,9.8,9.7
498,10,42,5,2,36.5,25.2,25.8
499,10,43,5,2,2.4,3.7,3.6
500,10,44,5,2,38.6,42.3,42.1
501,10,45,5,2,6083,7040,7007
502,10,46,6,2,51.3,64.7,64.2
503,10,47,6,2,1.6,1.4,1.4
